equipe,matchs_joues,victoires,defaites,nuls,taux_victoire_pct,bonus_offensif,bonus_defensif,moy_score_equipe,moy_score_adversaire,moy_essais_accordes,moy_melees_obtenues,moy_melees_perdues,moy_melees_gagnees,moy_melees_refaites,moy_touches_obtenues,moy_touches_propre_lancer,moy_touches_lancer_adv,moy_en_avant_commis,moy_penalites_reussies,moy_penalites_concedees,moy_plaquages_reussis,moy_plaquages_offensifs,moy_plaquages_manques,moy_ballons_pied,moy_ballons_passes,moy_carton_jaune,moy_carton_orange,moy_carton_rouge,moy_possession_balle,moy_occupation,moy_possession_prop_camp,moy_possession_camp_adv,moy_possession_22m_adv
ASM Clermont,99,55,37,7,55.6,22,12,28.18,23.06,2.85,9.34,0.86,6.06,2.42,12.83,9.59,0.96,8.92,2.81,9.57,146.3,13.39,21.34,16.97,136.11,0.81,0.0,0.08,50.0,48.7,47.8,51.3,48.9
Aviron Bayonnais,43,13,26,4,30.2,0,3,18.44,30.56,1.51,8.0,1.12,5.51,1.37,13.51,9.98,0.79,7.4,2.63,10.35,143.77,6.98,19.93,18.0,119.84,0.63,0.0,0.14,50.0,46.1,42.5,54.2,46.7
CA Brive,70,28,39,3,40.0,2,11,20.77,26.01,1.74,9.33,1.22,5.58,2.54,11.94,8.26,1.01,7.67,2.88,10.7,141.39,10.57,22.61,18.06,112.62,0.83,0.0,0.09,50.0,47.3,49.0,53.0,47.3
Castres Olympique,99,53,45,1,53.5,15,16,23.21,21.78,2.2,8.8,1.01,5.3,2.49,11.7,8.54,1.16,8.05,2.64,10.96,148.43,11.4,20.84,20.47,122.13,0.89,0.0,0.07,50.0,53.6,53.3,46.1,53.3
FC Grenoble Rugby,54,13,38,3,24.1,2,11,20.89,29.5,1.81,8.46,1.24,4.8,2.43,12.69,9.28,0.65,7.37,2.87,10.26,151.09,10.85,20.87,16.96,144.26,0.74,0.0,0.06,50.0,49.4,48.6,50.1,49.5
LOU Rugby,99,56,39,4,56.6,22,8,25.0,21.31,2.57,8.66,0.94,5.53,2.19,13.27,10.31,1.07,8.0,2.49,10.08,149.57,13.03,20.45,19.94,132.84,0.67,0.0,0.05,50.0,51.6,51.5,48.6,51.6
Montpellier Hérault Rugby,99,54,41,4,54.5,27,17,26.74,21.67,3.02,9.1,0.98,5.55,2.58,11.88,8.97,0.78,7.59,2.0,10.55,152.26,13.54,18.66,20.63,123.25,0.65,0.0,0.06,50.0,50.4,53.5,49.4,50.2
Oyonnax Rugby,27,7,17,3,25.9,1,4,21.78,32.26,2.11,8.0,0.89,4.7,2.41,12.26,8.33,0.3,8.07,2.67,9.37,168.41,12.0,21.3,15.96,156.11,0.3,0.0,0.07,50.0,49.6,43.0,49.7,48.7
RC Toulon,99,51,43,5,51.5,22,17,25.12,19.92,2.6,9.37,0.7,6.24,2.43,13.02,9.54,0.94,8.63,2.27,9.74,146.54,15.55,18.76,17.99,132.36,0.67,0.0,0.09,50.0,48.9,47.5,51.5,48.9
Racing 92,99,57,39,3,57.6,21,11,25.14,20.92,2.89,7.95,0.69,5.59,1.68,12.69,9.32,1.19,8.28,1.94,10.33,145.0,11.8,18.73,18.97,140.47,0.64,0.0,0.11,50.0,51.5,55.4,48.6,51.6
SU Agen,69,23,44,2,33.3,2,12,18.71,26.45,1.9,9.68,1.07,6.17,2.43,11.78,8.97,1.26,7.51,2.07,8.88,171.75,15.12,22.04,17.99,132.75,0.52,0.0,0.0,50.0,49.4,48.3,50.5,48.9
Section Paloise,95,42,52,1,44.2,6,18,21.36,25.92,2.03,8.74,1.0,5.47,2.26,12.87,8.74,0.61,7.52,2.56,10.08,153.18,10.89,21.24,17.66,145.28,0.72,0.0,0.08,50.0,50.7,50.0,49.4,50.8
Stade Français Paris,95,40,53,2,42.1,12,14,22.04,25.74,2.17,9.61,1.2,6.02,2.39,11.51,8.51,1.06,7.56,2.45,10.53,162.71,17.4,19.28,20.42,123.65,0.83,0.0,0.08,50.0,50.0,48.5,49.9,49.6
Stade Rochelais,98,57,37,4,58.2,21,12,25.73,21.15,2.72,9.04,0.61,6.2,2.22,12.36,8.86,0.83,8.03,2.4,9.43,148.54,13.87,18.66,16.13,144.42,0.52,0.0,0.04,50.0,47.9,47.5,52.0,48.0
Stade Toulousain,98,58,36,4,59.2,20,13,25.5,20.84,2.73,9.35,0.86,6.31,2.18,12.32,8.9,0.91,7.55,2.26,9.56,144.39,13.62,17.44,19.07,140.88,0.63,0.0,0.05,50.0,51.5,53.3,48.6,51.6
USA Perpignan,26,2,24,0,7.7,0,4,16.65,31.58,1.54,9.96,1.04,6.08,2.85,12.31,9.58,1.12,8.19,2.08,9.81,147.0,11.88,24.15,15.96,148.15,0.73,0.0,0.04,50.0,49.0,47.3,50.4,50.7
Union Bordeaux-Bègles,95,46,45,4,48.4,13,14,23.36,23.49,2.27,8.5,0.82,5.67,2.01,12.18,8.52,1.09,7.73,2.54,10.05,164.1,14.49,20.02,18.8,127.36,0.62,0.0,0.12,50.0,50.1,50.1,50.1,50.1
